x,pressure
52300.0,564728.329583597
52350.0,555037.9280952637
52400.0,545347.5266069298
52450.0,535657.1251185965
52500.0,525966.7137923612
52550.0,516179.71733816643
52600.0,508167.25847514503
52650.0,502456.2782662291
52700.0,496745.29805731314
52750.0,491034.3178483966
52800.0,485323.34747738205
52850.0,479515.7723026047
52900.0,473804.79209368874
52950.0,468093.8118847728
53000.0,462382.83167585626
53050.0,456671.8514669403
53100.0,450960.87125802436
53150.0,445153.296083247
53200.0,439442.31587433105
53250.0,433958.5223225031
53300.0,428499.16611775936
53350.0,423039.80991301563
53400.0,417580.4537082719
53450.0,412024.50253766676
53500.0,406565.1364950211
53550.0,401105.7802902774
53600.0,395646.42408553365
53650.0,390187.0678807899
53700.0,384727.7116760462
53750.0,379171.76050544105
53800.0,790359.7307411543
53850.0,785931.5144961132
53900.0,783156.9019083135
53950.0,780382.2893205144
54000.0,777511.0719289525
54050.0,774736.4593411534
54100.0,771961.8467533543
54150.0,769187.2341655552
54200.0,766412.6215777561
54250.0,763637.9991520556
54300.0,760766.7915983945
54350.0,757992.1790105954
54400.0,755217.5664227963
54450.0,752442.9538349973
54500.0,755979.2515516886
54550.0,760497.02634906
54600.0,764918.2159626685
54650.0,769436.0005421379
54700.0,773953.7851216078
54750.0,778471.5599189792
54800.0,782989.3444984491
54850.0,787507.1290779185
54900.0,791928.318691527
54950.0,796446.0934888984
55000.0,800963.8780683677
55050.0,805481.6626478377
55100.0,806874.3406241729
55150.0,802356.3338530307
55200.0,797741.7321160269
55250.0,793223.7253448847
55300.0,788705.7185737424
55350.0,784187.7118025996
55400.0,779669.7148693587
55450.0,775055.1131323549
55500.0,770537.1063612127
55550.0,766019.0995900704
55600.0,761501.0928189282
55650.0,756983.0860477854
55700.0,752465.0792766431
55750.0,750925.7916623413
55800.0,750119.7766832168
55850.0,749313.7714861908
55900.0,748507.7662891649
55950.0,747701.7513100404
56000.0,746895.7461130138
56050.0,745993.1459501263
56100.0,745187.1407531004
56150.0,744381.1257739759
56200.0,743575.1205769499
56250.0,742769.115379924
56300.0,741963.1004007988
56350.0,740417.024010071
56400.0,737520.5788513025
56450.0,734624.1336925346
56500.0,731727.6885337668
56550.0,728831.2433749989
56600.0,725934.798216231
56650.0,722941.7580916017
56700.0,720045.3129328332
56750.0,717148.8677740654
56800.0,714252.4226152975
56850.0,711355.9774565296
56900.0,708362.9373319002
